Case Number,Time,Date,Year,Type,Country,Fatal,Injury,Area,Location,Activity,Name,Victim's Gender,Age,Species,Predicted Gender
2020.01.12,Morning,12-Jan-2020,2020.0,Unprovoked,THAILAND,N,Calf bitten,Phang Nga Province,Nang Thong Beach,Swimming,Hans-Peter Malten,M,75.0,Unknown,
2019.11.12,Unknown,11-Nov-2019,2019.0,Unprovoked,USA,N,Lacerations to left foot,Florida,"Cocoa Beach, Brevard County",Surfing,Miller,M,30.0,4' to 5' blacktip shark,
2019.11.02,Unknown,02-Nov-2019,2019.0,Questionable,REUNION ISLAND,Y,Hand recovered from shark but death may have been due to drowning,Saint-Gilles,L’Hermitage Lagoon,Snorkeling,Richard Martyn Turner,,44.0,10' tiger shark,Male
2019.10.29,Morning,29-Oct-2019,2019.0,Unprovoked,AUSTRALIA,N,Raddon’s right foot was severed and Maggs sustained serious lacerations to his lower right leg.,Queensland,"Off Airlie Beach, Whitsundays",Snorkeling,Alistair Reddon & Danny Maggs,,24.0,Tiger shark,Male
2019.10.27,Afternoon,27-Oct-2019,2019.0,Provoked,USA,N,Minor cuts when he jumped off his board and landed on the shark. PROVOKED INCIDENT,Florida,"New Smyrna Beach, Volusia County",Surfing,Stephen Michelena,,32.0,4' to 5' shark,Male
2019.10.21,Morning,21-Oct-2019,2019.0,Unprovoked,FRENCH POLYNESIA,Unknown,Severe injuries to arms and chest,Moorea,Opunohu Bay,Snorkeling,Emmanuelle B,,35.0,Oceanic whitetip shark,Female
2019.10.17,Afternoon,17-Oct-2019,2019.0,Unprovoked,AUSTRALIA,N,"No injury, surfboard bitten",Queensland,"Woorim Beach, Bribie Island,",Surfing,Riley Brown,,17.0,7' shark,Male
2019.10.08,Afternoon,08-Oct-2019,2019.0,Unprovoked,USA,N,Lacerations to right foot,Florida,"Fort Pierce, St. Lucie County",Surfing,Justin Kendrick,,20.0,Unknown,Male
2019.10.05.b,Afternoon,05-Oct-2019,2019.0,Unprovoked,AUSTRALIA,N,"No injury, surfboard severely damaged",New South Wales,Lighthouse Beach,Surfing,Mike Bruton,,29.0,"White shark, 3.5 m",Male
2019.10.08,Afternoon,08-Oct-2019,2019.0,Unprovoked,USA,N,Lacerations to right foot,Florida,"Fort Pierce, St. Lucie County",Surfing,Justin Kendrick,,20.0,Unknown,Male
2019.10.04.R,Unknown,Reported 04-Oct-2019,2019.0,Unprovoked,USA,N,Minor injury to left thigh,Guam,Talofofo Bay,Surfing,Rain Williams,,24.0,Juvenile shark,Male
2019.09.28,Afternoon,28-Sep-2019,2019.0,Provoked,AUSTRALIA,N,Hooked shark bit his leg. PROVOKED INCIDENT,Northern Territory,"Nightcliff Jetty, Darwin",Fishing,Jamie Hall,,45.0,1+ m shark,Female
2019.09.26,Morning,26-Sep-2019,2019.0,Unprovoked,USA,N,"No injury, back of board bitten",Hawaii,"Kihei, South Maui",Surfing,female,,24.0,6' to 7' shark,Female
2019.09.24.b,Afternoon,24-Sep-2019,2019.0,Unprovoked,USA,N,Laceration to arm,Florida,"Huguenot Park, Jacksonville, Duval County",Swimming,male,,24.0,Unknown,Male
2019.09.24.a,Afternoon,24-Sep-2019,2019.0,Unprovoked,USA,N,Lacerations to left foot,Florida,"Satellite Beach, Brevard County",Surfing,Logan Radd,,13.0,2' shark,Male
2019.09.18,Morning,18-Sep-2019,2019.0,Unprovoked,USA,N,Minor injuries,Hawaii,"Haleiwa, Oahu",Snorkeling,"Lauren Russell, Regan Russell & unidentied male",,24.0,Unknown,Female
2019.09.07,Morning,07-Sep-2019,2019.0,Unprovoked,AUSTRALIA,N,"No injury, shark bit swim fin",Western Australia,"Burns Beach, Perth",Spearfishing,Joe Petrovich,,24.0,14' white shark,Male
2019.08.31.b,Unknown,31-Aug-2019,2019.0,Unprovoked,USA,N,Bite to posterior left knee,Cayman Islands,Grand Cayman,Spearfishing,Paul Egleston,,70.0,Nurse shark,Male
2019.08.27,Morning,27-Aug-2019,2019.0,Provoked,USA,N,Hand and calf bitten when he jumped off surfboard and landed on the shark PROVOKED INCIDENT,Florida,"New Smyrna Beach, Volusia County",Surfing,Donald Walsh,,40.0,6.5' shark,Male
2019.08.21,Morning,21-Aug-2019,2019.0,Unprovoked,USA,N,Foot bitten,Florida,"Fort Lauderdale, Broward County",Wading,Christian Mariani,,11.0,Unknown,Male
2019.08.20,Morning,20-Aug-2019,2019.0,Unprovoked,USA,N,Injury to lower back and right hip,Hawaii,"Napoopoo Park in Kealakekua Bay, The Big Island",Swimming,female,,26.0,Unknown,Female
2019.08.16,Morning,16-Aug-2019,2019.0,Unprovoked,USA,N,Puncture marks to lower leg,Florida,"New Smyrna Beach, Volusia County",Wading,Maggie Crum,,9.0,Unknown,Female
2019.08.11,Evening,11-Aug-2019,2019.0,Unprovoked,USA,N,"No injury, board damaged",Hawaii,"Makaha Beach, Oahu",Surfing,Max Keliikipi,,16.0,10' to 12' shark,Male
2019.08.04,Afternoon,04-Aug-2019,2019.0,Unprovoked,USA,N,Minor injuries to right foot,Florida,"New Smyrna Beach, Volusia County",Standing,Peter Bourbeau,,51.0,Unknown,Male
2019.08.03.c,Afternoon,03-Aug-2019,2019.0,Unprovoked,USA,N,Minor cuts to right foot,Florida,"New Smyrna Beach, Volusia County",Surfing,Riley Petrovich,,21.0,Unknown,Male
2019.08.03.b,Afternoon,03-Aug-2019,2019.0,Unprovoked,USA,N,Bite to left hand and wrist,Florida,"New Smyrna Beach, Volusia County",Surfing,Emily Comfort,,20.0,Unknown,Female
2019.08.03.a,Unknown,03-Aug-2019,2019.0,Unprovoked,USA,N,Laceration to left arm and hands,Florida,Off Key Biscayne,Spearfishing / Diving,Mario Avila,,37.0,Unknown,Male
2019.07.30,Unknown,30-Jul-2019,2019.0,Provoked,USA,N,Arc of punctures to lower right leg by hooked shark PROVOKED INCIDENT,North Carolina,"Off Cape Hatteras, Dare County",Fishing,Rick Caton,,24.0,"Blacktip shark, 5'",Male
2019.07.29,Afternoon,29-Jul-2019,2019.0,Unprovoked,USA,N,3 lacerations to left hand,Florida,"New Smyrna Beach, Volusia County",Surfing,Reed Zipperer,,18.0,Unknown,Male
2019.07.28,Evening,28-Jul-2019,2019.0,Unprovoked,AUSTRALIA,Unknown,Lacerations to lower leg,Queensland,Magra Islet,Snorkeling,female,,24.0,Unknown,Female
2019.07.27.b,Afternoon,27-Jul-2019,2019.0,Unprovoked,USA,N,Lacerations to right thigh,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,William Angell,,49.0,Unknown,Male
2019.07.27.a,Unknown,27-Jul-2019,2019.0,Unprovoked,USA,N,Puncture wounds around left elbow,Florida,"Jacksonville Beach, Duval County",Surfing,Frank O'Rourke,,23.0,Blacktip or Spinner shark,Male
2019.07.22,Evening,22-Jul-2019,2019.0,Unprovoked,USA,N,Foot bitten,Rhode Island,"Moonstone Beach, South Kingstown, Washington County",Surfing,Chase Clary,,18.0,Sandtiger shark,Male
2019.07.17.R,Morning,Reported 17-Jul-2019,2019.0,Unprovoked,NEW ZEALAND,N,Shark rammed him but no injury,Chatham Islands,Pitt Island or Chatham Island,Scuba diving,Val Croon,,45.0,"White shark, 3m",Female
2019.07.16,Afternoon,16-Jul-2019,2019.0,Unprovoked,USA,N,Ankle bitten,North Carolina,"Sunset Beach, Brunswick County",Body-surfing,Melissa Chase,,24.0,shark pup,Female
2019.07.12,Morning,12-Jul-2019,2019.0,Unprovoked,USA,N,Foot bitten,Florida,"Amelia Island, Nassau County",Boogie boarding,Jackie Jozaitis,,16.0,Unknown,
2019.07.10,Morning,10-Jul-2019,2019.0,Unprovoked,SOUTH AFRICA,N,Leg injured,Eastern Cape Province,"East Beach, Port Alfred",Surfing,Dusty Phelan,,25.0,"White shark, juvenile",Male
2019.07.09,Morning,2019.07.09,2019.0,Unprovoked,AUSTRALIA,N,Puncture wounds to left wrist,Queensland,"Pelican Waters, Caloundra",Paddle boarding,Craig McDougall,,45.0,Bull shark pup,Male
2019.07.06,Unknown,2019.07.06,2019.0,Provoked,MEXICO,N,Severe lacerations to leg,Quinta Roo,Cabo Catoche,Fishing,"Edgar Hernández,",,24.0,Unknown,Male
2019.07.04,Afternoon,2019.07.04,2019.0,Unprovoked,BAHAMAS,N,Unknown,Abaco Islands,Great Guana Cay,Snorkeling,male,,32.0,Unknown,Male
2019.06.30,Afternoon,2019.06.30,2019.0,Unprovoked,USA,N,Minor injury to foot,Florida,"New Smyrna Beach, Volusia County",Surfing,male,,18.0,Unknown,Male
2019.06.26,Afternoon,26-Jun-2019,2019.0,Unprovoked,BAHAMAS,Y,FATAL,Lucayan Archipelago,Rose Island,Snorkeling,Jordan Lindsey,,21.0,Unknown,Male
2019.06.16.b,Afternoon,16-Jun-2019,2019.0,Unprovoked,USA,N,Puncture wounds to leg,North Carolina,"Bald Head Island, Brunswick County",Swimming,male,,8.0,Unknown,Male
2019.06.16.a,Morning,16-Jun-2019,2019.0,Unprovoked,USA,N,Arc of lacerations to bicep,Georgia,"Wilmington River, Chatham County",Swimming,Gene Brooks,,64.0,"Bull shark, 4' to 5'",Male
2019.06.10,Afternoon,10-Jun-2019,2019.0,Unprovoked,USA,N,Cuts to right foot,North Carolina,"Ocean Isle, Brunswick County",Surfing,Austin Reed,,19.0,Unknown,Male
2019.06.06.R,Unknown,Reported 06-Jun-2019,2019.0,Unprovoked,AUSTRALIA,N,Bumped by shark but no injury,Tasmania,Maatsuyker Island,Abalone diving,male,,24.0,Unknown,Male
2019.06.05,Afternoon,05-Jun-2019,2019.0,Unverified,AUSTRALIA,N,Injury to wrist,New South Wales,Lennox Head,Surfing,male,,24.0,Unknown,Male
2019.06.02,Afternoon,02-Jun-2019,2019.0,Unprovoked,USA,N,Severe injuries to leg and hand,North Carolina,"Fort Macon State Beach, Carteret County",Standing,Paige Winter,,17.0,Unknown,
2019.05.29,Unknown,29-May-2019,2019.0,Unprovoked,NEW CALEDONIA,Y,FATAL,Bélep Islands,Cook Reef,Fishing,Boris Bouanaoue,,43.0,Unknown,Male
2019.05.25.b,Morning,25-May-2019,2019.0,Unprovoked,USA,Y,FATAL,Hawaii,"Honokowai Point, Maui",Swimming,Thomas Smiley,,65.0,Unknown,Male
2019.05.25.a,Afternoon,25-May-2019,2019.0,Unprovoked,NEW CALEDONIA,N,Leg severed,Noumea,Port South Marina,Swimming,Anthony Guillon Larrouy,,10.0,"Bull shark, 3.5 m",Male
2019.05.20,Unknown,20-May-2019,2019.0,Unprovoked,USA,N,No injury,New Jersey,"Ship Bottom, Ocean County",Body Boarding,Paul Sykes,,67.0,Shark involvement unconfirmed but considered probable,Male
2019.05.14.b,Morning,14-May-2019,2019.0,Unprovoked,USA,N,"No injury, knocked of board by shark",Hawaii,"Browns, Oahu",Surfing,male,,24.0,8' shark,Male
2019.05.14.a,Afternoon,14-May-2019,2019.0,Unprovoked,AUSTRALIA,N,Laceration to right ankle,Queensland,Yandaran Beach,Body Surfing,male,,53.0,Unknown,Male
2019.05.01,Evening,01-May-2019,2019.0,Unprovoked,USA,N,Injury to leg,Florida,"Off Boca Grande, Lee County",Fishing,Paul Kelly,,24.0,Unknown,Male
2019.04.27.R,Afternoon,Reported 27-Apr-2019,2019.0,Unprovoked,AUSTRALIA,N,3 puncture marks to left forearm,New South Wales,Tomaree,Spearfishing,Max Carey,,18.0,"Grey nurse shark, 3 m female",Male
2019.04.23,Morning,23-Apr-2019,2019.0,Unprovoked,USA,N,Injury to right inner thigh,Hawaii,"Anaehoomalu Bay, Hawaii",Kayaking,Kimberly Bishop,,65.0,Tiger shark,Female
2019.04.12,Afternoon,12-Apr-2019,2019.0,Questionable,USA,N,"Minor lacerations to left knee, left hand and right thigh",Florida,"Crescent Beach, St Johns County",Boogie boarding,Peyton Shields,,10.0,Unknown,
2019.04.06.b,Evening,06-Apr-2019,2019.0,Questionable,USA,N,"Probable death by drowning, body scavenged by shark",Hawaii,"North Koahala, Big Island",Picking opihi,male,,58.0,Tiger shark,Male
2019.04.06.a,Morning,06-Apr-2019,2019.0,Unprovoked,USA,N,Bitten on left shoulder,Hawaii,Kaiwi Channel,Swimming,Isaiah Mojica,,23.0,Cookiecutter shark,Male
2019.04.05,Unknown,05-Apr-2019,2019.0,Provoked,CHINA,N,"Lacerations to face, chin and scalp",Liaoning Province,"Laohutan Ocean Park Aquarium, Dalian City",Diving in shark tank,Nana,,24.0,Sand tiger shark,Female
2019.03.26,Morning,26-Mar-2019,3019.0,Watercraft,USA,N,Injuries to calf and canoe,Hawaii,Waikoloa area,Paddling an outrigger canoe,male,,75.0,12' shark,Male
2019.03.25,Afternoon,25-Mar-2019,2019.0,Unprovoked,AUSTRALIA,N,Puncture marks to left hip and buttocks,Queensland,Line Reef,Swimming,Ryan Bowring,,25.0,"Grey reef shark, 4'",Male
2019.03.22,Afternoon,22-Mar-2019,2019.0,Unprovoked,USA,N,Lacerations to foot,Florida,"Hobe Sound, Martin County",Surfing,Chris Bryan,,46.0,4' shark,Male
2019.03.21,Afternoon,21-Mar-2019,2019.0,Unprovoked,MEXICO,N,20 cm gash to right leg,Guerrero,Troncones,Swimming,Alex Wilton,,32.0,Unknown,Male
2019.03.16,Unknown,Reported 16-Mar-2019,2019.0,Unprovoked,USA,N,Bite to abdomen,Hawaii,Kaiwi Channel,Swimming,Eric Schall,,58.0,Cookiecutter shark,Male
2019.03.12,Afternoon,12-Mar-2019,2019.0,Unprovoked,USA,N,Lacerations to right foot,Florida,"Stuart Beach, Martin County",Boogie boarding,Kael Dewey,,11.0,Spinner shark,
2019.03.05.b,Morning,05-Mar-2019,2019.0,Unprovoked,USA,N,"No injury, board bitten and dented",Oregon,"Cape Kiwanda, Tillamook County",Surfing,Nathan Holstedt,,24.0,Unknown,Male
2019.03.05.a,Afternoon,05-Mar-2019,2019.0,Provoked,SOUTH AFRICA,N,Lacerations to arm from shark caught in trawl net PROVOKED INCIDENT,Eastern Cape Province,30 nm off Port Elizabeth,Fishing,male,,46.0,2.5 m shark,Male
2019.02.17,Morning,17-Feb-2019,2019.0,Unprovoked,AUSTRALIA,N,Lacerations/puncture marks to thigh,New South Wales,Belongil Bay,Surfing,Sam Edwardes,,41.0,Unknown,Male
2019.02.14,Afternoon,14-Feb-2019,2019.0,Unprovoked,BRAZIL,N,Minor injury to face,Fernando de Noronha,Cacimba do Padre,Surfing,Carlos Vinícius de Oliveira,,31.0,Lemon shark,Male
2019.02.04.b,Afternoon,04-Feb-2019,2019.0,Unprovoked,USA,N,Multiple lacerations to leg,Hawaii,"Hanalei Bay, Kauai",Surfing,male,,24.0,Tiger shark,Male
2019.02.04.a,Morning,04-Feb-2019,2019.0,Unprovoked,AUSTRALIA,N,"No injury, surfboard bitten",New South Wales,Urunga area,Surfing,Matt Gallagher,,50.0,Unknown,Male
2019.02.02.b,Unknown,02-Feb-2019,2019.0,Watercraft,SOUTH AFRICA,N,"No injury to occupants, shark bit pontoon causing it to deflate.",KwaZulu-Natal,Mtunzini,Fishing,2 males,,24.0,Unknown,
2019.02.02.a,Morning,02-Feb-2019,2019.0,Unprovoked,USA,N,Right wrist and hand injured,Florida,Key Biscayne,Spearfishing,Alvaro Ordonez,,50.0,Bull shark,Male
2019.01.29,Evening,29-Jan-2019,2019.0,Invalid,NEW ZEALAND,N,Gash to thigh,South Island,Oreti Beach,Boogie boarding,female,,17.0,Reported as shark bite but injury caused by stingray,Female
2019.01.14,Morning,14-Jan-2019,2019.0,Unprovoked,AUSTRALIA,N,Minor injury to left foot,Western Australia,North Cottesloe,Swimming,Isabella Brett-Jensen,,15.0,Wobbegong shark,Female
2019.01.10,Morning,10-Jan-2019,2019.0,Invalid,AUSTRALIA,N,Injuries to foot & leg,Queensland,"Catseye Beach, Hamilton Island, Whitsundays",Wading,Two females,,24.0,Reported as shark attacks but injuries caused by toadfish,
2019.01.08,Morning,8-Jan-2019,2019.0,Unprovoked,USA,N,Cuts to both lower legs,California,"Sandspit Beach, Montaña de Oro State Park",Surfing,Nick Wapner,,19.0,"White shark, 4.6m",Male
2018.12.18,Morning,18-Dec-2018,2018.0,Unprovoked,MEXICO,Y,FATAL,Sonora,Southeast of Puerto Peñasco,Diving,Nahum Verdugo Aguilera,,35.0,Tiger shark,Male
2018.12.15.a,Morning,15-Dec-2018,2018.0,Provoked,NEW ZEALAND,N,Injuries to leg and hand,North Island,Matauri Bay,Spearfishing,Kevin Lloyd,,24.0,"Mako shark, 7'",Male
2018.12.09.b,Morning,09-Dec-2018,2018.0,Unprovoked,NEW ZEALAND,N,No injury,North Island,Ti Point,Spearfishing,Anton Oleinik,,50.0,Bronze whaler 2.5m,Male
